Taylor Swift	2017704360	4457179
BTS	1904786381	1564822
Kanye West	928358672	6417506
Lana Del Rey	850093141	3859944
Radiohead	808693133	6371514
The Beatles	743842414	5149839
Drake	623654341	5364152
Arctic Monkeys	607385871	5449916
The Weeknd	593698776	3734920
Coldplay	551426294	7263484
Lady Gaga	535416539	5682167
Ariana Grande	511792811	3068099
Tyler, the Creator	471714160	2703159
Kendrick Lamar	467779344	3396320
Pink Floyd	440407649	4288655
Frank Ocean	425518863	2978206
Muse	421852219	5066372
Linkin Park	416581387	5232300
Beyoncé	404101260	5281448
Red Hot Chili Peppers	401264751	5867417
Eminem	382052140	6309487
Metallica	380803169	3961732
Nirvana	366334528	5889978
Rihanna	359619895	6540881
Playboi Carti	344846775	1454922
Paramore	337920175	4057065
Billie Eilish	328589533	2634507
Gorillaz	322537705	5234338
System of a Down	320501459	4511699
Mitski	318738878	1921036
The Smiths	311901734	3649308
The Strokes	306470022	4525640
Juice WRLD	306043147	1617337
Jung Kook	301412226	751267
Britney Spears	301258873	4807946
Queen	300999809	5702880
Daft Punk	293456694	5075803
David Bowie	291706708	4482114
SZA	281092866	2267190
Travis Scott	278723675	1861437
TWICE	276557522	1026862
Harry Styles	275988752	2242430
jimin	275764621	398458
Green Day	275413737	5076321
The Killers	274805156	5646084
My Chemical Romance	274309190	3587377
Katy Perry	271843581	5495739
V	269701935	523423
Deftones	267477113	2867963
Foo Fighters	265469148	5166042
Doja Cat	262385752	2364848
Olivia Rodrigo	259975595	1969345
The Cure	259281594	4175505
Mac Miller	251551830	2512310
Fall Out Boy	249920034	3904746
Led Zeppelin	248614559	3910749
blink-182	247975269	3948142
Lorde	246990218	2709865
Florence + the Machine	244556835	3405319
TOMORROW X TOGETHER	243487356	763596
Rammstein	238327176	2383509
LIL UZI VERT	237385960	1777770
Madonna	231729201	4280125
Tame Impala	228991048	2881647
BLACKPINK	228524338	1255403
Nine Inch Nails	228403704	2794974
Adele	223896267	4406436
$uicideboy$	223120086	993482
Depeche Mode	222311673	3523134
J-Hope	221014450	558362
Arcade Fire	221000521	3150710
Slipknot	219467898	3205570
STRAY KIDS	219363769	687122
Joji	211632580	1954597
The Rolling Stones	210941775	4879361
Iron Maiden	209448913	2631636
Sufjan Stevens	209313221	3008249
Michael Jackson	208703681	5118572
Bladee	206339308	609578
Miley Cyrus	205292266	3717624
Nicki Minaj	205006547	3723886
Post Malone	204083800	2441642
Oasis	203696813	4605876
The Neighbourhood	203006964	2606881
Bob Dylan	202174500	3317290
Panic! at the Disco	199738293	3495718
Kid Cudi	199263475	3811112
Kings of Leon	198472861	4212465
Agust D	194978754	515972
Death Cab for Cutie	192296246	3312394
Korn	191873658	3286907
Dua Lipa	191087916	2286964
xxxtentacion	190016058	1830480
The Smashing Pumpkins	189766903	3791506
Queens of the Stone Age	189210891	3096526
Future	187797308	1986377
Bring Me the Horizon	186259184	2032635
Pearl Jam	185922973	3435877
The National	185789362	2211641
Weezer	184123310	4191276
One Direction	184111131	2319062
The 1975	184039706	1938385
Ed Sheeran	183821600	3190459
Maroon 5	182165341	5102887
Björk	182006692	2848853
Childish Gambino	179824171	2588887
LIL PEEP	179536289	1315490
